frame_index,frame_id,pattern,dac_code,settle_ms,sample_count,record_index,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality
0,6,adjacent,400,30,16,0,FWD,E1,E2,E3,E4,-27.945000,24.100000,OK
0,6,adjacent,400,30,16,1,REV,E2,E1,E3,E4,-26.695000,118.903000,OK
0,6,adjacent,400,30,16,2,FWD,E1,E2,E4,E5,-338.187000,97.277000,OK
0,6,adjacent,400,30,16,3,REV,E2,E1,E4,E5,44.039000,106.853000,OK
0,6,adjacent,400,30,16,4,FWD,E1,E2,E5,E6,157.352000,102.145000,OK
0,6,adjacent,400,30,16,5,REV,E2,E1,E5,E6,-408.906000,106.773000,OK
0,6,adjacent,400,30,16,6,FWD,E1,E2,E6,E7,-17.195000,103.821000,OK
0,6,adjacent,400,30,16,7,REV,E2,E1,E6,E7,-17.086000,106.374000,OK
0,6,adjacent,400,30,16,8,FWD,E1,E2,E7,E8,23.906000,104.459000,OK
0,6,adjacent,400,30,16,9,REV,E2,E1,E7,E8,23.812000,106.773000,OK
0,6,adjacent,400,30,16,10,FWD,E1,E2,E8,E9,25.250000,105.497000,OK
0,6,adjacent,400,30,16,11,REV,E2,E1,E8,E9,25.492000,107.412000,OK
0,6,adjacent,400,30,16,12,FWD,E1,E2,E9,E10,0.812000,105.896000,OK
0,6,adjacent,400,30,16,13,REV,E2,E1,E9,E10,0.906000,107.971000,OK
0,6,adjacent,400,30,16,14,FWD,E1,E2,E10,E11,-28.797000,106.694000,OK
0,6,adjacent,400,30,16,15,REV,E2,E1,E10,E11,-45.797000,108.848000,OK
0,6,adjacent,400,30,16,16,FWD,E1,E2,E11,E12,-41.070000,106.295000,OK
0,6,adjacent,400,30,16,17,REV,E2,E1,E11,E12,-49.539000,108.689000,OK
0,6,adjacent,400,30,16,18,FWD,E2,E3,E4,E5,43.766000,24.579000,OK
0,6,adjacent,400,30,16,19,REV,E3,E2,E4,E5,32.766000,78.045000,OK
0,6,adjacent,400,30,16,20,FWD,E2,E3,E5,E6,-342.312000,68.230000,OK
0,6,adjacent,400,30,16,21,REV,E3,E2,E5,E6,74.422000,71.103000,OK
0,6,adjacent,400,30,16,22,FWD,E2,E3,E6,E7,-17.633000,70.783000,OK
0,6,adjacent,400,30,16,23,REV,E3,E2,E6,E7,-17.500000,70.384000,OK
0,6,adjacent,400,30,16,24,FWD,E2,E3,E7,E8,21.336000,71.821000,OK
0,6,adjacent,400,30,16,25,REV,E3,E2,E7,E8,21.242000,71.182000,OK
0,6,adjacent,400,30,16,26,FWD,E2,E3,E8,E9,25.445000,72.938000,OK
0,6,adjacent,400,30,16,27,REV,E3,E2,E8,E9,25.602000,70.384000,OK
0,6,adjacent,400,30,16,28,FWD,E2,E3,E9,E10,0.477000,73.337000,OK
0,6,adjacent,400,30,16,29,REV,E3,E2,E9,E10,0.531000,71.980000,OK
0,6,adjacent,400,30,16,30,FWD,E2,E3,E10,E11,-27.328000,73.816000,OK
0,6,adjacent,400,30,16,31,REV,E3,E2,E10,E11,-44.219000,71.581000,OK
0,6,adjacent,400,30,16,32,FWD,E2,E3,E11,E12,-33.992000,73.736000,OK
0,6,adjacent,400,30,16,33,REV,E3,E2,E11,E12,-46.289000,73.098000,OK
0,6,adjacent,400,30,16,34,FWD,E2,E3,E12,E1,14.781000,74.295000,OK
0,6,adjacent,400,30,16,35,REV,E3,E2,E12,E1,14.633000,72.300000,OK
0,6,adjacent,400,30,16,36,FWD,E3,E4,E1,E2,60.211000,16.120000,OK
0,6,adjacent,400,30,16,37,REV,E4,E3,E1,E2,45.391000,54.265000,OK
0,6,adjacent,400,30,16,38,FWD,E3,E4,E5,E6,34.875000,47.003000,OK
0,6,adjacent,400,30,16,39,REV,E4,E3,E5,E6,43.273000,50.275000,OK
0,6,adjacent,400,30,16,40,FWD,E3,E4,E6,E7,-18.016000,48.758000,OK
0,6,adjacent,400,30,16,41,REV,E4,E3,E6,E7,-17.820000,49.477000,OK
0,6,adjacent,400,30,16,42,FWD,E3,E4,E7,E8,18.945000,50.195000,OK
0,6,adjacent,400,30,16,43,REV,E4,E3,E7,E8,18.883000,49.796000,OK
0,6,adjacent,400,30,16,44,FWD,E3,E4,E8,E9,25.625000,51.312000,OK
0,6,adjacent,400,30,16,45,REV,E4,E3,E8,E9,25.750000,49.955000,OK
0,6,adjacent,400,30,16,46,FWD,E3,E4,E9,E10,0.242000,51.791000,OK
0,6,adjacent,400,30,16,47,REV,E4,E3,E9,E10,0.273000,50.195000,OK
0,6,adjacent,400,30,16,48,FWD,E3,E4,E10,E11,-24.734000,52.429000,OK
0,6,adjacent,400,30,16,49,REV,E4,E3,E10,E11,-43.508000,51.152000,OK
0,6,adjacent,400,30,16,50,FWD,E3,E4,E11,E12,-26.859000,52.190000,OK
0,6,adjacent,400,30,16,51,REV,E4,E3,E11,E12,-42.813000,50.993000,OK
0,6,adjacent,400,30,16,52,FWD,E3,E4,E12,E1,5.508000,53.227000,OK
0,6,adjacent,400,30,16,53,REV,E4,E3,E12,E1,5.289000,52.110000,OK
0,6,adjacent,400,30,16,54,FWD,E4,E5,E1,E2,24.648000,19.870000,OK
0,6,adjacent,400,30,16,55,REV,E5,E4,E1,E2,25.133000,63.442000,OK
0,6,adjacent,400,30,16,56,FWD,E4,E5,E2,E3,-80.508000,52.270000,OK
0,6,adjacent,400,30,16,57,REV,E5,E4,E2,E3,-81.188000,59.930000,OK
0,6,adjacent,400,30,16,58,FWD,E4,E5,E6,E7,-18.383000,54.504000,OK
0,6,adjacent,400,30,16,59,REV,E5,E4,E6,E7,-17.961000,59.053000,OK
0,6,adjacent,400,30,16,60,FWD,E4,E5,E7,E8,16.891000,55.861000,OK
0,6,adjacent,400,30,16,61,REV,E5,E4,E7,E8,17.008000,59.452000,OK
0,6,adjacent,400,30,16,62,FWD,E4,E5,E8,E9,25.766000,56.978000,OK
0,6,adjacent,400,30,16,63,REV,E5,E4,E8,E9,25.914000,59.851000,OK
0,6,adjacent,400,30,16,64,FWD,E4,E5,E9,E10,0.062000,57.217000,OK
0,6,adjacent,400,30,16,65,REV,E5,E4,E9,E10,0.109000,59.053000,OK
0,6,adjacent,400,30,16,66,FWD,E4,E5,E10,E11,-26.984000,58.334000,OK
0,6,adjacent,400,30,16,67,REV,E5,E4,E10,E11,-26.852000,60.329000,OK
0,6,adjacent,400,30,16,68,FWD,E4,E5,E11,E12,-42.344000,58.654000,OK
0,6,adjacent,400,30,16,69,REV,E5,E4,E11,E12,-26.555000,60.010000,OK
0,6,adjacent,400,30,16,70,FWD,E4,E5,E12,E1,-0.602000,57.776000,OK
0,6,adjacent,400,30,16,71,REV,E5,E4,E12,E1,-0.727000,60.649000,OK
0,6,adjacent,400,30,16,72,FWD,E5,E6,E1,E2,32.586000,45.087000,OK
0,6,adjacent,400,30,16,73,REV,E6,E5,E1,E2,33.305000,93.128000,OK
0,6,adjacent,400,30,16,74,FWD,E5,E6,E2,E3,-80.883000,83.312000,OK
0,6,adjacent,400,30,16,75,REV,E6,E5,E2,E3,-83.711000,89.377000,OK
0,6,adjacent,400,30,16,76,FWD,E5,E6,E3,E4,-73.781000,85.786000,OK
0,6,adjacent,400,30,16,77,REV,E6,E5,E3,E4,-74.680000,89.856000,OK
0,6,adjacent,400,30,16,78,FWD,E5,E6,E7,E8,15.242000,86.983000,OK
0,6,adjacent,400,30,16,79,REV,E6,E5,E7,E8,16.672000,90.414000,OK
0,6,adjacent,400,30,16,80,FWD,E5,E6,E8,E9,25.898000,87.382000,OK
0,6,adjacent,400,30,16,81,REV,E6,E5,E8,E9,26.211000,90.574000,OK
0,6,adjacent,400,30,16,82,FWD,E5,E6,E9,E10,-0.102000,88.898000,OK
0,6,adjacent,400,30,16,83,REV,E6,E5,E9,E10,0.023000,90.734000,OK
0,6,adjacent,400,30,16,84,FWD,E5,E6,E10,E11,-37.664000,88.579000,OK
0,6,adjacent,400,30,16,85,REV,E6,E5,E10,E11,-24.500000,90.654000,OK
0,6,adjacent,400,30,16,86,FWD,E5,E6,E11,E12,-43.992000,90.175000,OK
0,6,adjacent,400,30,16,87,REV,E6,E5,E11,E12,-40.203000,91.532000,OK
0,6,adjacent,400,30,16,88,FWD,E5,E6,E12,E1,-5.383000,89.377000,OK
0,6,adjacent,400,30,16,89,REV,E6,E5,E12,E1,-5.398000,91.532000,OK
0,6,adjacent,400,30,16,90,FWD,E6,E7,E1,E2,41.508000,40.299000,OK
0,6,adjacent,400,30,16,91,REV,E7,E6,E1,E2,42.047000,68.549000,OK
0,6,adjacent,400,30,16,92,FWD,E6,E7,E2,E3,139.648000,72.539000,OK
0,6,adjacent,400,30,16,93,REV,E7,E6,E2,E3,-499.500000,66.075000,OK
0,6,adjacent,400,30,16,94,FWD,E6,E7,E3,E4,-67.242000,74.374000,OK
0,6,adjacent,400,30,16,95,REV,E7,E6,E3,E4,-74.406000,66.793000,OK
0,6,adjacent,400,30,16,96,FWD,E6,E7,E4,E5,-73.586000,75.731000,OK
0,6,adjacent,400,30,16,97,REV,E7,E6,E4,E5,-73.648000,68.230000,OK
0,6,adjacent,400,30,16,98,FWD,E6,E7,E8,E9,26.164000,76.050000,OK
0,6,adjacent,400,30,16,99,REV,E7,E6,E8,E9,32.680000,68.549000,OK
0,6,adjacent,400,30,16,100,FWD,E6,E7,E9,E10,-0.117000,76.768000,OK
0,6,adjacent,400,30,16,101,REV,E7,E6,E9,E10,-0.047000,69.826000,OK
0,6,adjacent,400,30,16,102,FWD,E6,E7,E10,E11,17.039000,77.726000,OK
0,6,adjacent,400,30,16,103,REV,E7,E6,E10,E11,-99.656000,69.507000,OK
0,6,adjacent,400,30,16,104,FWD,E6,E7,E11,E12,14.625000,78.125000,OK
0,6,adjacent,400,30,16,105,REV,E7,E6,E11,E12,-106.000000,70.783000,OK
0,6,adjacent,400,30,16,106,FWD,E6,E7,E12,E1,-9.172000,78.923000,OK
0,6,adjacent,400,30,16,107,REV,E7,E6,E12,E1,-9.258000,70.783000,OK
0,6,adjacent,400,30,16,108,FWD,E7,E8,E1,E2,49.750000,13.247000,OK
0,6,adjacent,400,30,16,109,REV,E8,E7,E1,E2,50.305000,45.407000,OK
0,6,adjacent,400,30,16,110,FWD,E7,E8,E2,E3,-410.391000,38.943000,OK
0,6,adjacent,400,30,16,111,REV,E8,E7,E2,E3,3.234000,42.215000,OK
0,6,adjacent,400,30,16,112,FWD,E7,E8,E3,E4,117.266000,41.736000,OK
0,6,adjacent,400,30,16,113,REV,E8,E7,E3,E4,-471.656000,41.975000,OK
0,6,adjacent,400,30,16,114,FWD,E7,E8,E4,E5,-69.547000,41.895000,OK
0,6,adjacent,400,30,16,115,REV,E8,E7,E4,E5,-69.563000,42.534000,OK
0,6,adjacent,400,30,16,116,FWD,E7,E8,E5,E6,-4.797000,43.172000,OK
0,6,adjacent,400,30,16,117,REV,E8,E7,E5,E6,-4.484000,42.693000,OK
0,6,adjacent,400,30,16,118,FWD,E7,E8,E9,E10,0.148000,43.013000,OK
0,6,adjacent,400,30,16,119,REV,E8,E7,E9,E10,1.148000,42.853000,OK
0,6,adjacent,400,30,16,120,FWD,E7,E8,E10,E11,-72.781000,43.890000,OK
0,6,adjacent,400,30,16,121,REV,E8,E7,E10,E11,-15.703000,43.491000,OK
0,6,adjacent,400,30,16,122,FWD,E7,E8,E11,E12,-75.031000,43.412000,OK
0,6,adjacent,400,30,16,123,REV,E8,E7,E11,E12,-13.734000,43.651000,OK
0,6,adjacent,400,30,16,124,FWD,E7,E8,E12,E1,-12.594000,43.811000,OK
0,6,adjacent,400,30,16,125,REV,E8,E7,E12,E1,-12.609000,44.050000,OK
